BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
,,,,,,,
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,18,"740,000","900,162","825,455","1,300,000"
BROOKLYN,BATH BEACH,02 TWO FAMILY DWELLINGS,44,"300,000","970,654","965,000","1,400,000"
BROOKLYN,BATH BEACH,03 THREE FAMILY DWELLINGS,17,"364,252","1,405,408","1,380,000","2,117,960"
BROOKLYN,BAY RIDGE,01 ONE FAMILY DWELLINGS,101,"350,000","1,193,506","1,100,000","3,250,000"
BROOKLYN,BAY RIDGE,02 TWO FAMILY DWELLINGS,101,"350,000","1,211,090","1,200,000","2,165,000"
BROOKLYN,BAY RIDGE,03 THREE FAMILY DWELLINGS,8,"900,000","1,402,500","1,467,000","1,730,000"
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,30,"200,000","990,842","850,000","2,425,000"
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,160,"240,000","1,627,482","1,320,000","15,000,000"
BROOKLYN,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,78,"295,000","1,418,942","1,387,500","2,670,000"
BROOKLYN,BENSONHURST,01 ONE FAMILY DWELLINGS,26,"675,000","1,029,019","970,000","1,600,000"
BROOKLYN,BENSONHURST,02 TWO FAMILY DWELLINGS,76,"250,000","1,170,790","1,175,000","3,500,000"
BROOKLYN,BENSONHURST,03 THREE FAMILY DWELLINGS,27,"295,000","1,282,015","1,300,000","2,477,402"
BROOKLYN,BERGEN BEACH,01 ONE FAMILY DWELLINGS,33,"450,000","793,409","765,000","1,300,000"
BROOKLYN,BERGEN BEACH,02 TWO FAMILY DWELLINGS,28,"600,000","945,061","915,000","1,225,000"
BROOKLYN,BERGEN BEACH,03 THREE FAMILY DWELLINGS,10,"375,000","933,779","956,397","1,230,000"
BROOKLYN,BOERUM HILL,01 ONE FAMILY DWELLINGS,5,"1,927,000","2,865,400","2,800,000","3,850,000"
BROOKLYN,BOERUM HILL,02 TWO FAMILY DWELLINGS,15,"1,550,000","2,628,933","2,650,000","4,850,000"
BROOKLYN,BOERUM HILL,03 THREE FAMILY DWELLINGS,4,"414,726","2,565,532","2,925,000","3,997,400"
BROOKLYN,BOROUGH PARK,01 ONE FAMILY DWELLINGS,58,"360,000","1,232,009","990,000","4,000,000"
BROOKLYN,BOROUGH PARK,02 TWO FAMILY DWELLINGS,131,"250,000","1,348,181","1,300,000","3,500,000"
BROOKLYN,BOROUGH PARK,03 THREE FAMILY DWELLINGS,52,"350,000","1,574,333","1,512,750","2,990,000"
BROOKLYN,BRIGHTON BEACH,01 ONE FAMILY DWELLINGS,6,"437,500","679,750","657,500","999,500"
BROOKLYN,BRIGHTON BEACH,02 TWO FAMILY DWELLINGS,12,"600,000","822,625","817,500","1,275,000"
BROOKLYN,BRIGHTON BEACH,03 THREE FAMILY DWELLINGS,3,"580,000","776,000","808,000","940,000"
BROOKLYN,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS,7,"3,500,000","7,810,286","5,400,000","25,500,000"
BROOKLYN,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS,4,"1,500,000","5,187,500","4,225,000","10,800,000"
BROOKLYN,BROOKLYN HEIGHTS,03 THREE FAMILY DWELLINGS,3,"3,165,000","3,798,333","3,730,000","4,500,000"
BROOKLYN,BROWNSVILLE,01 ONE FAMILY DWELLINGS,26,"227,000","474,751","487,500","999,000"
BROOKLYN,BROWNSVILLE,02 TWO FAMILY DWELLINGS,32,"365,750","657,536","681,375","900,000"
BROOKLYN,BROWNSVILLE,03 THREE FAMILY DWELLINGS,10,"520,500","707,575","682,500","920,000"
BROOKLYN,BUSH TERMINAL,02 TWO FAMILY DWELLINGS,4,"650,000","856,225","849,950","1,075,000"
BROOKLYN,BUSH TERMINAL,03 THREE FAMILY DWELLINGS,1,"910,000","910,000","910,000","910,000"
BROOKLYN,BUSHWICK,01 ONE FAMILY DWELLINGS,11,"200,000","1,207,545","1,175,000","3,600,000"
BROOKLYN,BUSHWICK,02 TWO FAMILY DWELLINGS,91,"212,500","1,062,394","1,050,000","2,050,000"
BROOKLYN,BUSHWICK,03 THREE FAMILY DWELLINGS,33,"650,000","1,273,788","1,170,000","2,300,000"
BROOKLYN,CANARSIE,01 ONE FAMILY DWELLINGS,84,"225,000","538,084","563,000","989,000"
BROOKLYN,CANARSIE,02 TWO FAMILY DWELLINGS,178,"256,500","675,778","697,000","1,139,671"
BROOKLYN,CANARSIE,03 THREE FAMILY DWELLINGS,18,"350,000","760,444","804,500","1,025,000"
BROOKLYN,CARROLL GARDENS,01 ONE FAMILY DWELLINGS,5,"1,625,000","3,300,900","3,080,000","4,999,500"
BROOKLYN,CARROLL GARDENS,02 TWO FAMILY DWELLINGS,10,"875,000","2,730,000","2,690,000","3,825,000"
BROOKLYN,CARROLL GARDENS,03 THREE FAMILY DWELLINGS,7,"930,000","2,549,821","2,900,000","4,060,000"
BROOKLYN,CLINTON HILL,01 ONE FAMILY DWELLINGS,4,"2,388,000","3,118,250","2,950,000","4,185,000"
BROOKLYN,CLINTON HILL,02 TWO FAMILY DWELLINGS,18,"499,990","2,508,194","2,425,000","4,200,000"
BROOKLYN,CLINTON HILL,03 THREE FAMILY DWELLINGS,11,"1,230,000","11,412,727","17,000,000","17,000,000"
BROOKLYN,COBBLE HILL,01 ONE FAMILY DWELLINGS,7,"1,500,000","5,293,399","6,119,396","8,000,000"
BROOKLYN,COBBLE HILL,02 TWO FAMILY DWELLINGS,3,"3,250,000","5,163,100","4,739,300","7,500,000"
BROOKLYN,COBBLE HILL,03 THREE FAMILY DWELLINGS,6,"2,154,750","3,537,292","3,275,000","5,900,000"
BROOKLYN,COBBLE HILL-WEST,01 ONE FAMILY DWELLINGS,2,"1,650,000","2,725,000","2,725,000","3,800,000"
BROOKLYN,COBBLE HILL-WEST,02 TWO FAMILY DWELLINGS,2,"2,157,250","3,003,625","3,003,625","3,850,000"
BROOKLYN,COBBLE HILL-WEST,03 THREE FAMILY DWELLINGS,2,"1,975,000","2,162,500","2,162,500","2,350,000"
BROOKLYN,CONEY ISLAND,01 ONE FAMILY DWELLINGS,21,"370,000","583,167","600,000","666,000"
BROOKLYN,CONEY ISLAND,02 TWO FAMILY DWELLINGS,1,"675,000","675,000","675,000","675,000"
BROOKLYN,CROWN HEIGHTS,01 ONE FAMILY DWELLINGS,20,"560,000","1,494,750","1,413,500","2,500,000"
BROOKLYN,CROWN HEIGHTS,02 TWO FAMILY DWELLINGS,83,"304,200","1,287,344","1,225,000","3,120,000"
BROOKLYN,CROWN HEIGHTS,03 THREE FAMILY DWELLINGS,12,"288,990","1,081,516","1,057,100","1,735,000"
BROOKLYN,CYPRESS HILLS,01 ONE FAMILY DWELLINGS,26,"311,080","636,970","651,000","980,000"
BROOKLYN,CYPRESS HILLS,02 TWO FAMILY DWELLINGS,80,"283,000","747,817","760,000","1,120,075"
BROOKLYN,CYPRESS HILLS,03 THREE FAMILY DWELLINGS,19,"250,000","677,603","667,000","1,150,000"
BROOKLYN,DOWNTOWN-FULTON FERRY,02 TWO FAMILY DWELLINGS,1,"1,975,000","1,975,000","1,975,000","1,975,000"
BROOKLYN,DOWNTOWN-FULTON MALL,01 ONE FAMILY DWELLINGS,3,"1,975,000","3,225,000","3,600,000","4,100,000"
BROOKLYN,DYKER HEIGHTS,01 ONE FAMILY DWELLINGS,57,"250,000","963,281","950,000","1,450,000"
BROOKLYN,DYKER HEIGHTS,02 TWO FAMILY DWELLINGS,58,"495,000","1,304,464","1,155,000","8,530,000"
BROOKLYN,DYKER HEIGHTS,03 THREE FAMILY DWELLINGS,15,"924,000","1,479,633","1,470,000","1,950,000"
BROOKLYN,EAST NEW YORK,01 ONE FAMILY DWELLINGS,67,"213,000","483,388","500,000","910,000"
BROOKLYN,EAST NEW YORK,02 TWO FAMILY DWELLINGS,173,"210,000","708,446","743,000","1,600,000"
BROOKLYN,EAST NEW YORK,03 THREE FAMILY DWELLINGS,57,"212,940","699,489","732,500","1,064,453"
BROOKLYN,FLATBUSH-CENTRAL,01 ONE FAMILY DWELLINGS,52,"350,000","1,576,376","1,655,000","3,760,413"
BROOKLYN,FLATBUSH-CENTRAL,02 TWO FAMILY DWELLINGS,55,"350,000","1,379,357","1,065,000","4,999,999"
BROOKLYN,FLATBUSH-CENTRAL,03 THREE FAMILY DWELLINGS,9,"224,693","859,855","905,000","1,500,000"
BROOKLYN,FLATBUSH-EAST,01 ONE FAMILY DWELLINGS,145,"200,000","621,194","603,200","2,700,000"
BROOKLYN,FLATBUSH-EAST,02 TWO FAMILY DWELLINGS,123,"242,500","750,641","735,000","2,300,000"
BROOKLYN,FLATBUSH-EAST,03 THREE FAMILY DWELLINGS,20,"320,000","755,481","795,000","1,340,612"
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,01 ONE FAMILY DWELLINGS,12,"677,750","1,779,797","1,962,500","2,285,000"
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,02 TWO FAMILY DWELLINGS,21,"775,000","1,335,762","1,355,000","2,100,000"
BROOKLYN,FLATBUSH-LEFFERTS GARDEN,03 THREE FAMILY DWELLINGS,4,"1,075,000","1,392,085","1,371,670","1,750,000"
BROOKLYN,FLATBUSH-NORTH,01 ONE FAMILY DWELLINGS,23,"250,000","682,662","626,000","1,280,500"
BROOKLYN,FLATBUSH-NORTH,02 TWO FAMILY DWELLINGS,42,"223,333","772,597","705,000","1,900,000"
BROOKLYN,FLATBUSH-NORTH,03 THREE FAMILY DWELLINGS,7,"679,800","800,257","820,000","900,000"
