BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
,,,,,,,
MANHATTAN,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,"4,350,000","4,350,000","4,350,000","4,350,000"
MANHATTAN,CHELSEA,01 ONE FAMILY DWELLINGS,2,"6,000,000","10,499,950","10,499,950","14,999,900"
MANHATTAN,CHELSEA,02 TWO FAMILY DWELLINGS,2,"4,150,000","5,325,000","5,325,000","6,500,000"
MANHATTAN,CHELSEA,03 THREE FAMILY DWELLINGS,1,"4,100,000","4,100,000","4,100,000","4,100,000"
MANHATTAN,CLINTON,01 ONE FAMILY DWELLINGS,1,"7,500,000","7,500,000","7,500,000","7,500,000"
MANHATTAN,CLINTON,03 THREE FAMILY DWELLINGS,1,"3,050,000","3,050,000","3,050,000","3,050,000"
MANHATTAN,EAST VILLAGE,02 TWO FAMILY DWELLINGS,1,"4,725,000","4,725,000","4,725,000","4,725,000"
MANHATTAN,EAST VILLAGE,03 THREE FAMILY DWELLINGS,1,"8,405,000","8,405,000","8,405,000","8,405,000"
MANHATTAN,GRAMERCY,01 ONE FAMILY DWELLINGS,2,"9,000,000","10,587,500","10,587,500","12,175,000"
MANHATTAN,GRAMERCY,02 TWO FAMILY DWELLINGS,1,"685,000","685,000","685,000","685,000"
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,6,"5,950,000","15,575,000","16,425,000","28,000,000"
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY DWELLINGS,1,"11,500,000","11,500,000","11,500,000","11,500,000"
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,14,"3,450,000","10,799,214","9,547,000","19,920,000"
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS,8,"3,900,000","11,085,688","7,426,250","31,000,000"
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY DWELLINGS,1,"7,500,000","7,500,000","7,500,000","7,500,000"
MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,5,"1,250,000","2,200,000","1,870,000","4,250,000"
MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,13,"1,575,000","2,598,762","2,634,000","3,950,000"
MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS,8,"906,243","2,347,105","2,400,300","3,900,000"
MANHATTAN,HARLEM-EAST,02 TWO FAMILY DWELLINGS,3,"906,500","1,617,866","994,174","2,952,925"
MANHATTAN,HARLEM-EAST,03 THREE FAMILY DWELLINGS,1,"2,275,000","2,275,000","2,275,000","2,275,000"
MANHATTAN,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,2,"1,900,000","2,325,000","2,325,000","2,750,000"
MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,2,"2,100,000","2,250,000","2,250,000","2,400,000"
MANHATTAN,HARLEM-UPPER,03 THREE FAMILY DWELLINGS,1,"1,180,366","1,180,366","1,180,366","1,180,366"
MANHATTAN,INWOOD,02 TWO FAMILY DWELLINGS,2,"642,000","1,611,938","1,611,938","2,581,875"
MANHATTAN,KIPS BAY,01 ONE FAMILY DWELLINGS,1,"3,180,000","3,180,000","3,180,000","3,180,000"
MANHATTAN,KIPS BAY,02 TWO FAMILY DWELLINGS,1,"9,350,000","9,350,000","9,350,000","9,350,000"
MANHATTAN,MANHATTAN VALLEY,01 ONE FAMILY DWELLINGS,1,"3,750,000","3,750,000","3,750,000","3,750,000"
