BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
QUEENS,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,"584,569","584,569","584,569","584,569"
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,26,"210,000","398,630","425,000","565,000"
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,53,"250,000","615,616","630,000","995,000"
QUEENS,ARVERNE,03 THREE FAMILY DWELLINGS,17,"230,000","10,749,941","13,950,000","13,950,000"
QUEENS,ASTORIA,01 ONE FAMILY DWELLINGS,34,"367,500","918,000","920,000","1,650,000"
QUEENS,ASTORIA,02 TWO FAMILY DWELLINGS,92,"250,000","1,388,874","1,300,000","4,500,000"
QUEENS,ASTORIA,03 THREE FAMILY DWELLINGS,35,"355,000","1,425,382","1,475,000","2,150,000"
QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,243,"300,000","926,504","860,000","2,300,000"
QUEENS,BAYSIDE,02 TWO FAMILY DWELLINGS,75,"342,444","1,174,750","1,200,000","2,180,000"
QUEENS,BAYSIDE,03 THREE FAMILY DWELLINGS,8,"300,000","1,061,000","1,102,500","1,550,000"
QUEENS,BEECHHURST,01 ONE FAMILY DWELLINGS,31,"590,000","1,120,147","1,070,000","2,740,000"
QUEENS,BEECHHURST,02 TWO FAMILY DWELLINGS,1,"900,000","900,000","900,000","900,000"
QUEENS,BELLE HARBOR,01 ONE FAMILY DWELLINGS,28,"638,500","1,007,482","912,500","1,999,999"
QUEENS,BELLE HARBOR,02 TWO FAMILY DWELLINGS,23,"385,000","934,600","951,800","1,650,000"
QUEENS,BELLEROSE,01 ONE FAMILY DWELLINGS,87,"277,345","669,334","650,000","1,290,000"
QUEENS,BELLEROSE,02 TWO FAMILY DWELLINGS,16,"312,000","639,063","645,000","910,000"
QUEENS,BREEZY POINT,01 ONE FAMILY DWELLINGS,69,"220,000","550,036","510,000","1,800,000"
QUEENS,BRIARWOOD,01 ONE FAMILY DWELLINGS,13,"507,200","696,092","662,000","910,000"
