RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01
102001,United States,0,1264,1274,1275,1282,1294,1305,1314,1319,1320,1320,1320,1320,1325,1332,1340,1351,1360,1369,1374,1379,1380,1381,1381,1382,1387,1394,1402,1410,1419,1425,1427,1431,1430,1429,1429,1428,1432,1438,1446,1455,1464,1470,1476,1478,1478,1477,1476,1477,1481,1486,1494,1503,1512,1521,1527,1530,1531,1530,1531,1533,1536,1543,1551,1560,1570,1579,1584,1587,1586,1585,1584,1586,1591,1599,1604,1597,1593,1595,1596,1593,1591,1590,1594,1598,1601,1607,1623,1648,1678,1710,1745,1779,1803,1821,1838,1854,1856
394913,"New York, NY",1,2208,2236,2243,2249,2280,2298,2315,2323,2326,2324,2328,2321,2330,2343,2359,2388,2399,2410,2417,2426,2433,2435,2428,2426,2428,2436,2439,2455,2468,2481,2469,2478,2484,2479,2477,2469,2466,2470,2481,2496,2512,2519,2528,2525,2533,2522,2503,2505,2499,2501,2509,2523,2537,2550,2563,2569,2569,2561,2552,2550,2549,2558,2573,2583,2608,2626,2634,2634,2627,2621,2608,2596,2603,2624,2628,2614,2598,2579,2548,2490,2436,2399,2380,2372,2376,2383,2405,2443,2486,2534,2594,2637,2676,2704,2729,2760,2788
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1797,1826,1814,1822,1845,1864,1882,1897,1907,1912,1911,1916,1929,1938,1954,1967,1978,1990,2006,2018,2027,2035,2044,2048,2060,2077,2089,2096,2115,2128,2133,2145,2151,2157,2158,2164,2176,2188,2199,2214,2229,2236,2250,2257,2262,2263,2268,2267,2278,2287,2295,2306,2316,2329,2338,2350,2355,2361,2368,2373,2377,2381,2389,2400,2408,2419,2430,2437,2442,2441,2446,2455,2460,2465,2463,2441,2426,2423,2420,2411,2413,2420,2426,2423,2422,2432,2446,2471,2501,2543,2586,2640,2675,2703,2727,2750,2769
394463,"Chicago, IL",3,1403,1415,1417,1421,1436,1450,1459,1461,1456,1451,1450,1449,1451,1456,1446,1456,1476,1493,1502,1509,1505,1497,1488,1488,1496,1505,1515,1527,1538,1547,1553,1554,1546,1533,1526,1521,1521,1536,1549,1561,1573,1580,1583,1580,1572,1564,1557,1558,1561,1568,1580,1589,1600,1610,1612,1610,1603,1593,1590,1587,1596,1604,1616,1629,1640,1649,1655,1654,1650,1643,1633,1633,1641,1651,1659,1656,1655,1654,1649,1637,1620,1602,1592,1590,1593,1596,1615,1642,1666,1689,1708,1727,1733,1738,1744,1759,1770
394514,"Dallas-Fort Worth, TX",4,1097,1123,1128,1144,1139,1142,1146,1149,1153,1150,1147,1150,1154,1159,1172,1181,1191,1198,1203,1208,1204,1203,1202,1204,1209,1214,1228,1238,1248,1257,1263,1265,1266,1266,1268,1268,1271,1276,1285,1291,1302,1311,1314,1318,1317,1319,1316,1317,1321,1327,1331,1339,1342,1351,1356,1360,1357,1361,1365,1362,1365,1375,1378,1388,1398,1404,1410,1410,1412,1411,1408,1406,1410,1416,1423,1417,1414,1419,1422,1423,1425,1431,1434,1437,1440,1449,1464,1491,1521,1559,1600,1636,1659,1672,1690,1700,1704
394974,"Philadelphia, PA",5,1309,1276,1296,1300,1308,1319,1324,1329,1332,1326,1324,1312,1315,1318,1330,1341,1352,1359,1360,1361,1360,1356,1357,1355,1360,1366,1375,1384,1392,1397,1403,1397,1395,1392,1394,1392,1395,1400,1409,1416,1422,1424,1427,1428,1425,1426,1430,1430,1427,1432,1443,1452,1462,1466,1467,1469,1471,1472,1470,1475,1480,1486,1493,1499,1506,1516,1519,1520,1519,1522,1521,1521,1523,1535,1540,1533,1536,1538,1538,1541,1541,1542,1545,1552,1550,1551,1562,1580,1598,1617,1635,1666,1679,1695,1710,1732,1725
394692,"Houston, TX",6,1142,1171,1159,1167,1191,1204,1218,1226,1226,1230,1226,1224,1228,1231,1237,1248,1255,1262,1267,1268,1265,1261,1261,1260,1259,1265,1272,1272,1272,1274,1272,1269,1266,1263,1256,1253,1251,1255,1262,1265,1271,1273,1273,1273,1278,1288,1294,1299,1300,1304,1309,1314,1317,1321,1325,1323,1322,1321,1324,1319,1319,1321,1327,1333,1340,1346,1349,1347,1344,1343,1341,1344,1347,1350,1355,1347,1339,1338,1336,1336,1339,1343,1349,1348,1347,1346,1355,1370,1397,1429,1459,1481,1485,1498,1505,1515,1509
395209,"Washington, DC",7,1737,1776,1764,1764,1776,1790,1800,1804,1807,1795,1787,1776,1780,1788,1789,1803,1809,1819,1822,1821,1816,1819,1814,1815,1817,1823,1832,1839,1848,1858,1841,1851,1848,1845,1840,1839,1845,1850,1856,1872,1881,1887,1888,1890,1887,1878,1866,1865,1867,1873,1879,1895,1906,1918,1926,1929,1924,1919,1918,1917,1924,1933,1940,1953,1965,1976,1981,1983,1983,1975,1969,1967,1973,1979,1986,1980,1970,1968,1963,1952,1936,1920,1903,1894,1895,1898,1908,1934,1966,2003,2038,2072,2090,2106,2113,2119,2117
394856,"Miami-Fort Lauderdale, FL",8,1562,1568,1570,1570,1582,1590,1606,1613,1626,1632,1640,1644,1648,1661,1663,1666,1678,1690,1694,1706,1717,1728,1737,1742,1746,1753,1758,1756,1760,1760,1762,1767,1770,1772,1779,1777,1782,1785,1788,1788,1789,1794,1800,1806,1813,1821,1822,1823,1828,1829,1832,1833,1838,1844,1850,1858,1865,1872,1878,1880,1879,1881,1886,1889,1889,1892,1897,1903,1908,1919,1927,1937,1938,1943,1939,1932,1920,1921,1924,1929,1938,1953,1967,1981,1989,2008,2036,2074,2123,2183,2257,2333,2387,2439,2505,2573,2597
394347,"Atlanta, GA",9,1057,1069,1069,1077,1083,1090,1095,1099,1097,1098,1101,1103,1105,1111,1118,1128,1139,1151,1157,1158,1156,1157,1157,1160,1165,1173,1186,1194,1205,1215,1223,1226,1230,1234,1233,1231,1235,1241,1250,1259,1272,1281,1292,1297,1302,1299,1299,1300,1306,1313,1324,1333,1346,1354,1362,1369,1373,1378,1381,1384,1394,1398,1408,1419,1428,1438,1443,1448,1453,1451,1448,1449,1455,1463,1470,1464,1464,1471,1481,1494,1503,1514,1521,1531,1543,1561,1584,1616,1649,1694,1745,1802,1834,1857,1866,1865,1866
