BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
MANHATTAN,ALPHABET CITY,03 THREE FAMILY DWELLINGS,1,4350000,4350000,4350000,4350000
MANHATTAN,CHELSEA,01 ONE FAMILY DWELLINGS,2,6000000,10499950,10499950,14999900
MANHATTAN,CHELSEA,02 TWO FAMILY DWELLINGS,2,4150000,5325000,5325000,6500000
MANHATTAN,CHELSEA,03 THREE FAMILY DWELLINGS,1,4100000,4100000,4100000,4100000
MANHATTAN,CLINTON,01 ONE FAMILY DWELLINGS,1,7500000,7500000,7500000,7500000
MANHATTAN,CLINTON,03 THREE FAMILY DWELLINGS,1,3050000,3050000,3050000,3050000
MANHATTAN,EAST VILLAGE,02 TWO FAMILY DWELLINGS,1,4725000,4725000,4725000,4725000
MANHATTAN,EAST VILLAGE,03 THREE FAMILY DWELLINGS,1,8405000,8405000,8405000,8405000
MANHATTAN,GRAMERCY,01 ONE FAMILY DWELLINGS,2,9000000,10587500,10587500,12175000
MANHATTAN,GRAMERCY,02 TWO FAMILY DWELLINGS,1,685000,685000,685000,685000
MANHATTAN,GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY DWELLINGS,6,5950000,15575000,16425000,28000000
MANHATTAN,GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY DWELLINGS,1,11500000,11500000,11500000,11500000
MANHATTAN,GREENWICH VILLAGE-WEST,01 ONE FAMILY DWELLINGS,14,3450000,10799214,9547000,19920000
MANHATTAN,GREENWICH VILLAGE-WEST,02 TWO FAMILY DWELLINGS,8,3900000,11085688,7426250,31000000
MANHATTAN,GREENWICH VILLAGE-WEST,03 THREE FAMILY DWELLINGS,1,7500000,7500000,7500000,7500000
MANHATTAN,HARLEM-CENTRAL,01 ONE FAMILY DWELLINGS,5,1250000,2200000,1870000,4250000
MANHATTAN,HARLEM-CENTRAL,02 TWO FAMILY DWELLINGS,13,1575000,2598762,2634000,3950000
MANHATTAN,HARLEM-CENTRAL,03 THREE FAMILY DWELLINGS,8,906243,2347105,2400300,3900000
MANHATTAN,HARLEM-EAST,02 TWO FAMILY DWELLINGS,3,906500,1617866,994174,2952925
MANHATTAN,HARLEM-EAST,03 THREE FAMILY DWELLINGS,1,2275000,2275000,2275000,2275000
MANHATTAN,HARLEM-UPPER,01 ONE FAMILY DWELLINGS,2,1900000,2325000,2325000,2750000
MANHATTAN,HARLEM-UPPER,02 TWO FAMILY DWELLINGS,2,2100000,2250000,2250000,2400000
MANHATTAN,HARLEM-UPPER,03 THREE FAMILY DWELLINGS,1,1180366,1180366,1180366,1180366
MANHATTAN,INWOOD,02 TWO FAMILY DWELLINGS,2,642000,1611938,1611938,2581875
MANHATTAN,KIPS BAY,01 ONE FAMILY DWELLINGS,1,3180000,3180000,3180000,3180000
MANHATTAN,KIPS BAY,02 TWO FAMILY DWELLINGS,1,9350000,9350000,9350000,9350000
MANHATTAN,MANHATTAN VALLEY,01 ONE FAMILY DWELLINGS,1,3750000,3750000,3750000,3750000
MANHATTAN,MIDTOWN EAST,01 ONE FAMILY DWELLINGS,1,11500000,11500000,11500000,11500000
MANHATTAN,MIDTOWN EAST,02 TWO FAMILY DWELLINGS,1,11500000,11500000,11500000,11500000
MANHATTAN,MIDTOWN EAST,03 THREE FAMILY DWELLINGS,1,319393,319393,319393,319393
MANHATTAN,MURRAY HILL,02 TWO FAMILY DWELLINGS,1,5807000,5807000,5807000,5807000
MANHATTAN,SOHO,02 TWO FAMILY DWELLINGS,2,7400000,10425000,10425000,13450000
MANHATTAN,SOHO,03 THREE FAMILY DWELLINGS,1,5220000,5220000,5220000,5220000
MANHATTAN,UPPER EAST SIDE (59-79),01 ONE FAMILY DWELLINGS,14,4300000,13589214,9050000,38000000
MANHATTAN,UPPER EAST SIDE (59-79),02 TWO FAMILY DWELLINGS,4,5425000,8793750,7250000,15250000
MANHATTAN,UPPER EAST SIDE (79-96),01 ONE FAMILY DWELLINGS,11,3397500,8850227,8000000,19175000
MANHATTAN,UPPER EAST SIDE (79-96),02 TWO FAMILY DWELLINGS,5,4300000,6945000,7500000,8950000
MANHATTAN,UPPER EAST SIDE (79-96),03 THREE FAMILY DWELLINGS,1,5050000,5050000,5050000,5050000
MANHATTAN,UPPER WEST SIDE (59-79),01 ONE FAMILY DWELLINGS,5,7011000,10937200,10500000,18200000
MANHATTAN,UPPER WEST SIDE (59-79),02 TWO FAMILY DWELLINGS,4,3475000,6783000,7728500,8200000
MANHATTAN,UPPER WEST SIDE (79-96),01 ONE FAMILY DWELLINGS,6,3400000,7362500,7050000,11750000
MANHATTAN,UPPER WEST SIDE (79-96),02 TWO FAMILY DWELLINGS,2,4100000,5125000,5125000,6150000
MANHATTAN,UPPER WEST SIDE (79-96),03 THREE FAMILY DWELLINGS,1,6400000,6400000,6400000,6400000
MANHATTAN,UPPER WEST SIDE (96-116),03 THREE FAMILY DWELLINGS,1,4760000,4760000,4760000,4760000
MANHATTAN,WASHINGTON HEIGHTS LOWER,02 TWO FAMILY DWELLINGS,1,1200000,1200000,1200000,1200000
MANHATTAN,WASHINGTON HEIGHTS LOWER,03 THREE FAMILY DWELLINGS,1,2365262,2365262,2365262,2365262
