BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
QUEENS,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,1,584569,584569,584569,584569
QUEENS,ARVERNE,01 ONE FAMILY DWELLINGS,26,210000,398630,425000,565000
QUEENS,ARVERNE,02 TWO FAMILY DWELLINGS,53,250000,615616,630000,995000
QUEENS,ARVERNE,03 THREE FAMILY DWELLINGS,17,230000,10749941,13950000,13950000
QUEENS,ASTORIA,01 ONE FAMILY DWELLINGS,34,367500,918000,920000,1650000
QUEENS,ASTORIA,02 TWO FAMILY DWELLINGS,92,250000,1388874,1300000,4500000
QUEENS,ASTORIA,03 THREE FAMILY DWELLINGS,35,355000,1425382,1475000,2150000
QUEENS,BAYSIDE,01 ONE FAMILY DWELLINGS,243,300000,926504,860000,2300000
QUEENS,BAYSIDE,02 TWO FAMILY DWELLINGS,75,342444,1174750,1200000,2180000
QUEENS,BAYSIDE,03 THREE FAMILY DWELLINGS,8,300000,1061000,1102500,1550000
QUEENS,BEECHHURST,01 ONE FAMILY DWELLINGS,31,590000,1120147,1070000,2740000
QUEENS,BEECHHURST,02 TWO FAMILY DWELLINGS,1,900000,900000,900000,900000
QUEENS,BELLE HARBOR,01 ONE FAMILY DWELLINGS,28,638500,1007482,912500,1999999
QUEENS,BELLE HARBOR,02 TWO FAMILY DWELLINGS,23,385000,934600,951800,1650000
QUEENS,BELLEROSE,01 ONE FAMILY DWELLINGS,87,277345,669334,650000,1290000
QUEENS,BELLEROSE,02 TWO FAMILY DWELLINGS,16,312000,639063,645000,910000
QUEENS,BREEZY POINT,01 ONE FAMILY DWELLINGS,69,220000,550036,510000,1800000
QUEENS,BRIARWOOD,01 ONE FAMILY DWELLINGS,13,507200,696092,662000,910000
QUEENS,BRIARWOOD,02 TWO FAMILY DWELLINGS,9,849000,979000,980000,1175000
QUEENS,BRIARWOOD,03 THREE FAMILY DWELLINGS,5,960000,1110860,1135000,1330000
QUEENS,BROAD CHANNEL,01 ONE FAMILY DWELLINGS,25,240000,471425,453000,850000
