BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
STATEN ISLAND,ANNADALE,01 ONE FAMILY DWELLINGS,61,237000,712061,638000,1700000
STATEN ISLAND,ANNADALE,02 TWO FAMILY DWELLINGS,34,337500,885600,900000,1300000
STATEN ISLAND,ARDEN HEIGHTS,01 ONE FAMILY DWELLINGS,198,215000,442612,420000,1125000
STATEN ISLAND,ARDEN HEIGHTS,02 TWO FAMILY DWELLINGS,13,565000,771339,685000,997885
STATEN ISLAND,ARROCHAR,01 ONE FAMILY DWELLINGS,13,320000,633425,575311,999999
STATEN ISLAND,ARROCHAR,02 TWO FAMILY DWELLINGS,2,410000,452500,452500,495000
STATEN ISLAND,ARROCHAR,03 THREE FAMILY DWELLINGS,1,755000,755000,755000,755000
STATEN ISLAND,ARROCHAR-SHORE ACRES,01 ONE FAMILY DWELLINGS,9,450000,776318,519000,2100000
STATEN ISLAND,ARROCHAR-SHORE ACRES,02 TWO FAMILY DWELLINGS,3,320000,593333,610000,850000
STATEN ISLAND,BULLS HEAD,01 ONE FAMILY DWELLINGS,90,250000,488229,473750,975000
STATEN ISLAND,BULLS HEAD,02 TWO FAMILY DWELLINGS,50,339000,631884,630000,960000
STATEN ISLAND,CASTLETON CORNERS,01 ONE FAMILY DWELLINGS,95,269583,589599,600000,1125000
STATEN ISLAND,CASTLETON CORNERS,02 TWO FAMILY DWELLINGS,18,449000,642719,617975,875000
STATEN ISLAND,CASTLETON CORNERS,03 THREE FAMILY DWELLINGS,2,670000,670000,670000,670000
STATEN ISLAND,CLOVE LAKES,01 ONE FAMILY DWELLINGS,43,341640,669545,600000,1200000
STATEN ISLAND,CLOVE LAKES,02 TWO FAMILY DWELLINGS,8,325000,573125,637500,810000
STATEN ISLAND,CONCORD,01 ONE FAMILY DWELLINGS,32,207870,391455,369000,1050000
STATEN ISLAND,CONCORD,02 TWO FAMILY DWELLINGS,13,294060,489073,500000,733140
STATEN ISLAND,CONCORD-FOX HILLS,01 ONE FAMILY DWELLINGS,17,238290,422370,430000,610000
STATEN ISLAND,CONCORD-FOX HILLS,02 TWO FAMILY DWELLINGS,1,472000,472000,472000,472000
STATEN ISLAND,DONGAN HILLS,01 ONE FAMILY DWELLINGS,31,320000,598661,590000,943000
STATEN ISLAND,DONGAN HILLS,02 TWO FAMILY DWELLINGS,12,560038,909709,929000,1221900
STATEN ISLAND,DONGAN HILLS-COLONY,01 ONE FAMILY DWELLINGS,35,471510,958407,810000,4850000
STATEN ISLAND,DONGAN HILLS-COLONY,02 TWO FAMILY DWELLINGS,2,630000,638500,638500,647000
STATEN ISLAND,DONGAN HILLS-COLONY,03 THREE FAMILY DWELLINGS,1,850000,850000,850000,850000
STATEN ISLAND,DONGAN HILLS-OLD TOWN,01 ONE FAMILY DWELLINGS,2,400000,422500,422500,445000
STATEN ISLAND,ELTINGVILLE,01 ONE FAMILY DWELLINGS,202,200000,558599,550000,1175000
STATEN ISLAND,ELTINGVILLE,02 TWO FAMILY DWELLINGS,46,250000,765526,786250,1050000
STATEN ISLAND,EMERSON HILL,01 ONE FAMILY DWELLINGS,13,560000,1229962,1160000,3350000
STATEN ISLAND,EMERSON HILL,02 TWO FAMILY DWELLINGS,2,460000,707500,707500,955000
STATEN ISLAND,GRANT CITY,01 ONE FAMILY DWELLINGS,40,300000,594997,565500,1625000
STATEN ISLAND,GRANT CITY,02 TWO FAMILY DWELLINGS,21,499999,779502,710000,1299999
STATEN ISLAND,GRASMERE,01 ONE FAMILY DWELLINGS,35,290000,681721,643534,1650000
STATEN ISLAND,GRASMERE,02 TWO FAMILY DWELLINGS,6,660000,806608,825000,920000
STATEN ISLAND,GREAT KILLS,01 ONE FAMILY DWELLINGS,391,235000,573511,555000,1335000
STATEN ISLAND,GREAT KILLS,02 TWO FAMILY DWELLINGS,103,200000,728650,715000,1737500
STATEN ISLAND,GREAT KILLS,03 THREE FAMILY DWELLINGS,4,330000,363750,330000,465000
STATEN ISLAND,GREAT KILLS-BAY TERRACE,01 ONE FAMILY DWELLINGS,38,455000,574854,561500,765000
STATEN ISLAND,GREAT KILLS-BAY TERRACE,02 TWO FAMILY DWELLINGS,10,660000,794010,791050,950000
STATEN ISLAND,GRYMES HILL,01 ONE FAMILY DWELLINGS,18,430000,732750,647500,1250000
STATEN ISLAND,GRYMES HILL,02 TWO FAMILY DWELLINGS,7,344760,637990,542000,1455000
STATEN ISLAND,HUGUENOT,01 ONE FAMILY DWELLINGS,60,220000,694449,640000,1395000
