YEAR_COLLECTED,BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,ADDRESS,TOTAL_UNITS,GROSS_SQ_FT,SALE_PRICE
2020,2,BATHGATE,01 ONE FAMILY DWELLINGS,A5,418 EAST 180 STREET,1,"1,526",0
2020,2,BATHGATE,01 ONE FAMILY DWELLINGS,A1,4455 PARK AVENUE,1,"1,587","458,000"
2020,2,BATHGATE,01 ONE FAMILY DWELLINGS,A1,4451 PARK AVENUE,1,"1,495","275,000"
2020,2,BATHGATE,01 ONE FAMILY DWELLINGS,A1,4451 PARK AVENUE,1,"1,495","475,000"
2020,2,BATHGATE,01 ONE FAMILY DWELLINGS,A9,2327 WASHINGTON AVE,1,"1,260","165,000"
2020,2,BATHGATE,01 ONE FAMILY DWELLINGS,A1,2052 BATHGATE AVENUE,1,"1,516","289,000"
2020,2,BATHGATE,01 ONE FAMILY DWELLINGS,B3,2047 BATHGATE AVENUE,2,"1,431","526,000"
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B1,1540 WASHINGTON AVENUE,2,"2,400",0
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B1,482 CLAREMONT PARKWAY,2,"2,400",0
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B1,1465 CROTONA PLACE,2,"2,394",0
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B1,3854 3 AVENUE,2,"2,394",0
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B1,559 CLAREMONT PARKWAY,2,"2,394",0
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B2,414 EAST 178 STREET,2,"2,364","734,000"
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B1,1937 WASHINGTON AVE,2,"3,204","645,000"
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B1,1991 WASHINGTON AVENUE,2,"3,240",0
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B3,455 EAST 180 STREET,2,"1,296","455,000"
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,S2,444 CYRUS PLACE,3,"1,900","412,500"
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B1,2024 WASHINGTON AVE,2,"2,901","625,000"
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B2,2043 BATHGATE AVENUE,2,"1,512","461,370"
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B3,2123 BATHGATE AVE,2,"1,404","629,000"
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B2,505 EAST 182 STREET,2,"2,278",0
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B1,507 EAST 183RD STREET,2,"2,805",0
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B2,2306 BASSFORD AVENUE,2,"3,374","750,000"
2020,2,BATHGATE,02 TWO FAMILY DWELLINGS,B2,2301 BATHGATE AVENUE,2,"1,836","404,586"
2020,2,BATHGATE,03 THREE FAMILY DWELLINGS,C0,413 E 173RD STREET,3,"2,880",0
2020,2,BATHGATE,03 THREE FAMILY DWELLINGS,C0,413 EAST 173 STREET,3,"2,880",0
2020,2,BATHGATE,03 THREE FAMILY DWELLINGS,C0,3818 PARK AVENUE,3,"3,402",10
2020,2,BATHGATE,03 THREE FAMILY DWELLINGS,C0,412 EAST 183RD STREET,3,"3,654",0
2020,2,BATHGATE,03 THREE FAMILY DWELLINGS,C0,412 EAST 187 STREET,3,"2,302",0
2020,2,BATHGATE,03 THREE FAMILY DWELLINGS,C0,456 EAST 185 STREET,3,"1,344","325,000"
2020,2,BATHGATE,03 THREE FAMILY DWELLINGS,C0,458 EAST 187 STREET,3,"1,776","480,000"
2020,2,BATHGATE,03 THREE FAMILY DWELLINGS,C0,2052 WASHINGTON AVENUE,3,"2,901",0
2020,2,BATHGATE,03 THREE FAMILY DWELLINGS,C0,2054 WASHINGTON AVENUE,3,"2,901","810,000"
2020,2,BATHGATE,03 THREE FAMILY DWELLINGS,C0,2239 BATHGATE AVENUE,3,"3,168","899,500"
2020,2,BATHGATE,05 TAX CLASS 1 VACANT LAND,V0,2087 WASHINGTON AVE,0,0,"80,000"
2020,2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,C7,3782 3 AVENUE,14,"9,419","1,800,000"
2020,2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,C1,4619 PARK AVENUE,8,"8,976","638,750"
2020,2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,C1,4589 PARK AVENUE,25,"18,975",0
2020,2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,C1,4585 PARK AVENUE,25,"18,975",0
2020,2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,C1,2412 WEBSTER AVENUE,8,"9,240","1,400,000"
2020,2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,C1,4683 PARK AVENUE,8,"9,600","203,650"
2020,2,BATHGATE,07 RENTALS - WALKUP APARTMENTS,C7,2383 WASHINGTON AVENUE,26,"20,365","3,200,000"
