YEAR_COLLECTED,BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,ADDRESS,TOTAL_UNITS,GROSS_SQ_FT,SALE_PRICE
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,S1,8684 15TH AVENUE,2,4080,1300000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,14 BAY 10TH STREET,1,1428,849000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,30 BAY 10TH STREET,1,1428,75000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A9,43 BAY 11TH STREET,1,1052,0
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A9,8645 BAY 16TH STREET,1,1456,830000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A9,79 BAY 20TH STREET,1,1566,0
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A9,8620 19TH AVENUE,1,2106,1188000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A2,140 BAY 8 STREET,1,1804,975000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,145 BAY 7TH STREET,1,1280,870000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A1,155 BAY 14TH ST,1,936,1250000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A9,106 BAY 25TH STREET,1,1382,805000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,S1,2150 BENSON AVENUE,2,4870,0
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A1,195 BAY 8TH ST,1,1498,0
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,200 BAY 14TH STREET,1,1458,0
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,1709 CROPSEY AVENUE,1,1568,0
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,1703 CROPSEY AVENUE,1,1568,760000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,S1,2006 BATH AVE,2,1254,800000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A1,8904 16TH AVENUE,1,1188,820910
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,1586 INDEPENDENCE AVENUE,1,1188,985000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,283 BAY 14TH STREET,1,1152,0
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,271 BAY 14TH STREET,1,1204,0
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,322 BAY 14TH STREET,1,928,740000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,8933 16TH AVENUE,1,1240,740000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,278 BAY 13TH STREET,1,928,750000
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,8851 18TH AVENUE,1,992,0
2020,3,BATH BEACH,01 ONE FAMILY DWELLINGS,A5,287 BAY 20TH STREET,1,1320,800000
