BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,NUMBER OF SALES,MINIMUM SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,MAXIMUM SALE PRICE
BROOKLYN,BATH BEACH,01 ONE FAMILY DWELLINGS,18,740000,900162,825455,1300000
BROOKLYN,BATH BEACH,02 TWO FAMILY DWELLINGS,44,300000,970654,965000,1400000
BROOKLYN,BATH BEACH,03 THREE FAMILY DWELLINGS,17,364252,1405408,1380000,2117960
BROOKLYN,BAY RIDGE,01 ONE FAMILY DWELLINGS,101,350000,1193506,1100000,3250000
BROOKLYN,BAY RIDGE,02 TWO FAMILY DWELLINGS,101,350000,1211090,1200000,2165000
BROOKLYN,BAY RIDGE,03 THREE FAMILY DWELLINGS,8,900000,1402500,1467000,1730000
BROOKLYN,BEDFORD STUYVESANT,01 ONE FAMILY DWELLINGS,30,200000,990842,850000,2425000
BROOKLYN,BEDFORD STUYVESANT,02 TWO FAMILY DWELLINGS,160,240000,1627482,1320000,15000000
BROOKLYN,BEDFORD STUYVESANT,03 THREE FAMILY DWELLINGS,78,295000,1418942,1387500,2670000
BROOKLYN,BENSONHURST,01 ONE FAMILY DWELLINGS,26,675000,1029019,970000,1600000
BROOKLYN,BENSONHURST,02 TWO FAMILY DWELLINGS,76,250000,1170790,1175000,3500000
BROOKLYN,BENSONHURST,03 THREE FAMILY DWELLINGS,27,295000,1282015,1300000,2477402
BROOKLYN,BERGEN BEACH,01 ONE FAMILY DWELLINGS,33,450000,793409,765000,1300000
BROOKLYN,BERGEN BEACH,02 TWO FAMILY DWELLINGS,28,600000,945061,915000,1225000
BROOKLYN,BERGEN BEACH,03 THREE FAMILY DWELLINGS,10,375000,933779,956397,1230000
BROOKLYN,BOERUM HILL,01 ONE FAMILY DWELLINGS,5,1927000,2865400,2800000,3850000
BROOKLYN,BOERUM HILL,02 TWO FAMILY DWELLINGS,15,1550000,2628933,2650000,4850000
BROOKLYN,BOERUM HILL,03 THREE FAMILY DWELLINGS,4,414726,2565532,2925000,3997400
BROOKLYN,BOROUGH PARK,01 ONE FAMILY DWELLINGS,58,360000,1232009,990000,4000000
BROOKLYN,BOROUGH PARK,02 TWO FAMILY DWELLINGS,131,250000,1348181,1300000,3500000
BROOKLYN,BOROUGH PARK,03 THREE FAMILY DWELLINGS,52,350000,1574333,1512750,2990000
BROOKLYN,BRIGHTON BEACH,01 ONE FAMILY DWELLINGS,6,437500,679750,657500,999500
BROOKLYN,BRIGHTON BEACH,02 TWO FAMILY DWELLINGS,12,600000,822625,817500,1275000
BROOKLYN,BRIGHTON BEACH,03 THREE FAMILY DWELLINGS,3,580000,776000,808000,940000
BROOKLYN,BROOKLYN HEIGHTS,01 ONE FAMILY DWELLINGS,7,3500000,7810286,5400000,25500000
BROOKLYN,BROOKLYN HEIGHTS,02 TWO FAMILY DWELLINGS,4,1500000,5187500,4225000,10800000
BROOKLYN,BROOKLYN HEIGHTS,03 THREE FAMILY DWELLINGS,3,3165000,3798333,3730000,4500000
BROOKLYN,BROWNSVILLE,01 ONE FAMILY DWELLINGS,26,227000,474751,487500,999000
BROOKLYN,BROWNSVILLE,02 TWO FAMILY DWELLINGS,32,365750,657536,681375,900000
BROOKLYN,BROWNSVILLE,03 THREE FAMILY DWELLINGS,10,520500,707575,682500,920000
BROOKLYN,BUSH TERMINAL,02 TWO FAMILY DWELLINGS,4,650000,856225,849950,1075000
BROOKLYN,BUSH TERMINAL,03 THREE FAMILY DWELLINGS,1,910000,910000,910000,910000
BROOKLYN,BUSHWICK,01 ONE FAMILY DWELLINGS,11,200000,1207545,1175000,3600000
BROOKLYN,BUSHWICK,02 TWO FAMILY DWELLINGS,91,212500,1062394,1050000,2050000
BROOKLYN,BUSHWICK,03 THREE FAMILY DWELLINGS,33,650000,1273788,1170000,2300000
