YEAR_COLLECTED,BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,ADDRESS,TOTAL_UNITS,GROSS_SQ_FT,SALE_PRICE
2020,1,ALPHABET CITY,32 HOSPITAL AND HEALTH FACILITIES,I5,538-542 EAST 13TH STREET,1,"6,681",0
2020,1,ALPHABET CITY,37 RELIGIOUS FACILITIES,M1,345 EAST 4TH STREET,1,"3,496",0
2020,1,ALPHABET CITY,47 CONDO NON-BUSINESS STORAGE,RS,"229 EAST 2ND STREET, STOR",1,0,"1,900,000"
2020,1,ALPHABET CITY,47 CONDO NON-BUSINESS STORAGE,RS,"229 EAST 2ND STREET, STOR",1,0,"1,630,000"
2020,1,ALPHABET CITY,47 CONDO NON-BUSINESS STORAGE,RS,"631 EAST 9TH STREET, S1",1,0,"1,350,000"
2020,1,CHELSEA,21 OFFICE BUILDINGS,O3,516 WEST 20TH STREET,2,"82,015",0
2020,1,CHELSEA,21 OFFICE BUILDINGS,O3,529 WEST 20TH STREET,23,"111,329",0
2020,1,CHELSEA,21 OFFICE BUILDINGS,O6,513 WEST 20TH STREET,13,"83,240",0
2020,1,CHELSEA,21 OFFICE BUILDINGS,O5,428 WEST 19TH STREET,1,"17,940","12,333,333"
2020,1,CHELSEA,21 OFFICE BUILDINGS,O2,432 WEST 19TH STREET,4,"8,700","6,166,667"
2020,1,CHELSEA,21 OFFICE BUILDINGS,O3,155 WEST 19TH STREET,6,"25,090",0
2020,1,CHELSEA,21 OFFICE BUILDINGS,O6,"148 WEST 24TH STREET, 8 FL",15,"55,923",0
2020,1,CHELSEA,21 OFFICE BUILDINGS,O6,"148 WEST 24TH STREET, 8 FL",15,"55,923",0
2020,1,CHELSEA,21 OFFICE BUILDINGS,O6,"127 WEST 24 STREET, 5",7,"35,600","3,607,000"
2020,1,CHELSEA,21 OFFICE BUILDINGS,O6,"127 WEST 24TH STREET, 5THFL",7,"35,600","3,625,000"
2020,1,CHELSEA,22 STORE BUILDINGS,K1,508 WEST 25TH STREET,1,"4,000",0
2020,1,CHELSEA,22 STORE BUILDINGS,K1,547 WEST 25TH STREET,1,"5,891",0
2020,1,CHELSEA,22 STORE BUILDINGS,K2,116 10TH AVENUE,1,"3,630","9,000,000"
2020,1,CHELSEA,22 STORE BUILDINGS,K2,118 10TH AVENUE,1,"13,760",0
2020,1,CHELSEA,22 STORE BUILDINGS,K2,152 WEST 24TH STREET,1,"10,087","7,680,000"
2020,1,CHELSEA,22 STORE BUILDINGS,K9,259 7TH AVENUE,3,"3,870",0
2020,1,CHELSEA,25 LUXURY HOTELS,H2,140 WEST 28TH STREET,1,"217,166","147,362,877"
2020,1,CHELSEA,29 COMMERCIAL GARAGES,G7,154 WEST 24TH STREET,0,0,"7,680,000"
2020,1,CHELSEA,30 WAREHOUSES,E1,521 WEST 20TH STREET,1,"94,622",0
2020,1,CHELSEA,42 CONDO CULTURAL/MEDICAL/EDUCATIONAL/ETC,RA,"217 WEST 19TH STREET, DANCE",1,0,0
2020,1,CHELSEA,43 CONDO OFFICE BUILDINGS,RB,"301 7 AVENUE, 2A",1,0,7500000
2020,1,CHELSEA,43 CONDO OFFICE BUILDINGS,RB,"305 SEVENTH AVENUE, 3A",1,0,7500000
2020,1,CHELSEA,43 CONDO OFFICE BUILDINGS,RB,"305 SEVENTH AVENUE, 3B",1,0,7500000
2020,1,CHELSEA,44 CONDO PARKING,RG,"444 WEST 19TH STREET, P8",1,0,0
2020,1,CHELSEA,44 CONDO PARKING,RP,"163 WEST 18TH STREET, P2",1,0,0
2020,1,CHELSEA,46 CONDO STORE BUILDINGS,RK,"543 WEST 25TH STREET, 7",1,0,4825000
2020,1,CHELSEA,46 CONDO STORE BUILDINGS,RK,"249 8 AVENUE, COMM",1,0,11000000
2020,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE,RS,"520 WEST 27TH STREET, ST 1",1,0,40000
2020,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE,RS,"263 9 AVENUE, STG6",1,0,3230000
2020,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE,RS,"163 WEST 18TH STREET, S3",1,0,2280000
2020,1,CHELSEA,47 CONDO NON-BUSINESS STORAGE,RS,"163 WEST 18TH STREET, S23",1,0,0
2020,1,CHINATOWN,21 OFFICE BUILDINGS,O2,400 BROADWAY,2,12200,0
2020,1,CHINATOWN,21 OFFICE BUILDINGS,O2,112 BOWERY,2,7300,7250000
2020,1,CHINATOWN,21 OFFICE BUILDINGS,O5,22 CHATHAM SQUARE,4,3950,3950000
2020,1,CHINATOWN,21 OFFICE BUILDINGS,O5,55-59 CHRYSTIE STREET,39,41872,28600000
2020,1,CHINATOWN,31 COMMERCIAL VACANT LAND,V1,139 CENTRE STREET,0,0,0
2020,1,CHINATOWN,43 CONDO OFFICE BUILDINGS,RB,"139 CENTRE STREET, PH104",1,0,999000
2020,1,CHINATOWN,43 CONDO OFFICE BUILDINGS,RB,"210 CANAL STREET, 406",1,0,527000
2020,1,CHINATOWN,43 CONDO OFFICE BUILDINGS,RB,"210 CANAL STREET, 511",1,0,0
2020,1,CHINATOWN,43 CONDO OFFICE BUILDINGS,RB,"202 CANAL STREET, 601",1,0,0
2020,1,CHINATOWN,43 CONDO OFFICE BUILDINGS,RB,"13-17 ELIZABETH STREET, 108",1,0,1
2020,1,CHINATOWN,43 CONDO OFFICE BUILDINGS,RB,"128 MOTT STREET, 601",1,0,2217670
2020,1,CHINATOWN,43 CONDO OFFICE BUILDINGS,RB,"128 MOTT STREET, 607",1,0,990000
2020,1,CHINATOWN,43 CONDO OFFICE BUILDINGS,RB,"11 EAST BROADWAY, 4C",1,0,480036
2020,1,CHINATOWN,43 CONDO OFFICE BUILDINGS,RB,"11 EAST BROADWAY, 7A",1,0,494046
2020,1,CHINATOWN,43 CONDO OFFICE BUILDINGS,RB,"100 EAST BROADWAY, 1302",1,0,2601920
2020,1,CHINATOWN,47 CONDO NON-BUSINESS STORAGE,RS,"50 FRANKLIN STREET, S32B",1,0,0
