,New York City,Queens,Staten Island,Bronx,Brooklyn,Manhattan
Total Households,"3,175,777","778,932","166,246","503,829","958,567","768,203"
"Less than $10,000",8.88%,5.60%,7.30%,13.50%,8.80%,9.20%
"$10,000 to $14,999",5.48%,3.90%,3.60%,9.10%,6.40%,4.40%
"$15,000 to $24,999",8.60%,8.10%,6.40%,12.70%,9.60%,6.20%
"$25,000 to $34,999",7.60%,8.30%,6.10%,10.10%,8.30%,5.20%
"$35,000 to $49,999",9.88%,11.20%,8.60%,12.70%,10.50%,6.40%
"$50,000 to $74,999",14.16%,16.60%,13.70%,15.80%,14.10%,10.60%
"$75,000 to $99,999",11.18%,13.20%,12.10%,9.70%,11.20%,9.70%
"$100,000 to $149,999",14.80%,16.90%,19.40%,9.70%,14.00%,14.00%
"$150,000 to $199,999",7.96%,8.50%,11.10%,3.70%,7.40%,9.10%
"$200,000 or more",11.40%,7.60%,11.70%,3.00%,9.60%,25.10%
Median income (dollars),"63,998","68,666","82,783","40,088","60,231","93,651"
Mean income (dollars),"103,071","89,921","104,629","58,740","91,610","170,453"
