YEAR_COLLECTED,BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,ADDRESS,TOTAL_UNITS,GROSS_SQ_FT,SALE_PRICE
2020,4,AIRPORT JFK,39 TRANSPORTATION FACILITIES,V7,N/A ROCKAWAY BLVD,0,0,4121000
2020,4,AIRPORT LA GUARDIA,01 ONE FAMILY DWELLINGS,A5,19-62 81ST STREET,1,1224,584569
2020,4,AIRPORT LA GUARDIA,12 CONDOS - WALKUP APARTMENTS,R2,"19-37 80TH STREET, 1",1,0,420000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A5,3-20 BEACH 41 STREET,1,1476,300000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A5,336 BEACH 41ST STREET,1,1350,360000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A5,344 BEACH 42 STREET,1,1332,465000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A6,337 BEACH 43,1,1224,235000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A2,338 BEACH 45 STREET,1,1070,0
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A2,355 BEACH 44 STREET,1,971,540000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A9,345 BEACH 46TH STREET,1,926,565000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A6,4015 ROCKAWAY BEACH BLVD,1,1000,0
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A6,40-01 ROCKAWAY BEACH BLVD,1,618,190000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A2,352 BEACH 68TH ST,1,1240,0
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A2,444 BEACH 45TH STREET,1,1294,504972
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A6,475 BEACH 45TH ST,1,612,0
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A1,448 BEACH 47 STREET,1,1350,210000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A9,6-21 BEACH 65 STREET,1,1530,425000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A9,6-11 BEACH 65 STREET,1,1530,0
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A2,6702 ALMEDA AVENUE,1,974,350000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A2,68-17 BAYFIELD AVENUE,1,1087,425000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A9,522 BEACH 65TH STREET,1,1925,470000
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A0,540 BEACH 66 STREET,1,2081,0
2020,4,ARVERNE,01 ONE FAMILY DWELLINGS,A1,548 BEACH 66 STREET,1,2550,0
