YEAR_COLLECTED,BOROUGH,NEIGHBORHOOD,BUILDING_CLASS_CATEGORY,BUILDING_CLASS_AT_PRESENT,ADDRESS,TOTAL_UNITS,GROSS_SQ_FT,SALE_PRICE
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,4726 AMBOY ROAD,1,910,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,119 LENZIE STREET,1,3660,315000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,118 ELMBANK STREET,1,2580,450000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,7 SANDGAP STREET,1,1222,525000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,91 EAGAN AVENUE,1,1854,480000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,7 SEGUINE PLACE,1,2300,720000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,44 MAY PLACE,1,2495,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,22 MAY PLACE,1,2495,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,60 SEGUINE PLACE,1,1172,429000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,15 EAGAN AVENUE,1,1825,550000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,70 SEGUINE PLACE,1,1320,455500
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,44 LUCY LOOP,1,1500,410670
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,93 LORRAIN AVENUE,1,1548,520000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,91 LORRAINE AVENUE,1,1548,530000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,87 LORRAINE AVE,1,1548,545000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,1068 ARDEN AVENUE,1,790,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,142 FABIAN STREET,1,800,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,12 EAGAN AVENUE,1,1145,458000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,18 EAGAN AVENUE,1,1145,435000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,121 BARCLAY AVENUE,1,1163,650000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,64 LORRAINE AVENUE,1,1700,472000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,90 LORRAINE AVENUE,1,1700,580000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,46 ENDVIEW STREET,1,1344,575000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,56 ENDVIEW STREET,1,1344,518000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,29 LORRAINE AVENUE,1,1500,627000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,730 ANNADALE ROAD,1,1465,631000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,117 JEFFERSON BOULEVARD,1,1096,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,219 SHELDON AVENUE,1,1375,237000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,154 STAFFORD AVENUE,1,1966,797000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,137 SINCLAIR AVENUE,1,2960,865000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,220 VINELAND AVENUE,1,2368,835000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,496 ARDEN AVENUE,1,924,480000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,214 CROWN AVENUE,1,2870,929000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,460 ARDEN AVENUE,1,2232,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,473 JEFFERSON BLVD,1,1758,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,4905 AMBOY ROAD,1,1300,550000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,4969 AMBOY ROAD,1,1040,750000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,62 HILLIS STREET,1,2560,270000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,59 PINE TERRACE,1,1346,635000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,14 PINE TERRACE,1,1008,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,6 POILLON AVENUE,1,2280,1400000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,1048 ANNADALE ROAD,1,1200,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,22 ELY AVENUE,1,2400,700000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A5,11 ELY AVENUE,1,1440,519000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,19 ELY AVENUE,1,1768,706000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,994 ANNADALE ROAD,1,1608,800000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,116 NORTH PINE TERRACE,1,2008,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,944 ANNADALE ROAD,1,1296,624000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,221 ALBEE AVENUE,1,1480,750000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,26 BUFFINGTON AVENUE,1,1492,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,126 SOUTH RAILROAD ST,1,2400,710000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,37 BUFFINGTON AVENUE,1,2600,780000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,253 EDGEGROVE AVENUE,1,1260,430000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,257 STAFFORD AVENUE,1,2065,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,19 CANTON AVENUE,1,1858,790000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,315 EDGEGROVE AVENUE,1,1900,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,346 IONIA AVENUE,1,1170,640000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,381 EDGEGROVE AVENUE,1,2346,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,453 SINCLAIR AVENUE,1,1568,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A3,385 VINELAND AVENUE,1,3952,1075000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,153 DOWNES AVENUE,1,2250,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,70 BUFFINGTON AVENUE,1,1125,615000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A2,23 ALVINE AVENUE,1,988,580000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,19 ALVINE AVENUE,1,3570,920000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,270 ALBEE AVENUE,1,2088,750000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A3,80 BAYVIEW TERRACE,1,7580,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,315 KINGHORN STREET,1,4080,1375000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,547 BARCLAY AVE,1,2467,930000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A3,248 NOEL STREET,1,3610,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A3,282 HAROLD AVENUE,1,2790,1527375
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A3,296 HAROLD AVENUE,1,2790,1517193
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,463 BARCLAY AVENUE,1,2500,750000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,105 JANSEN STREET,1,2458,638000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,131 SANDBORN STRET,1,2156,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,161 EYLANDT STREET,1,2370,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,158 TALLMAN STREET,1,1924,490000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A3,111 EYLANDT STREET,1,2820,1050000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,347 BARCLAY AVENUE,1,1904,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,343 BARCLAY AVENUE,1,2500,725000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,101 TALLMAN STREET,1,2340,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,15 ALLEN PLACE,1,2560,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,226 TALLMAN STREET,1,4500,970000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,256 TALLMAN STREET,1,3389,0
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A1,256 BARCLAY AVENUE,1,2436,850000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A0,48 POILLON AVENUE,1,1200,900000
2020,5,ANNADALE,01 ONE FAMILY DWELLINGS,A3,15 NICOLOSI LOOP,1,7650,1700000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,119 ELMBANK STREET,2,2392,850000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,165 BATHGATE STREET,2,2887,1120074
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,169 BATHGATE STREET,2,2887,1120075
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B9,170 BATHGATE STREET,2,1492,710000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B9,441 HAROLD AVENUE,2,2496,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B9,15 SEGUINE PLACE,2,1804,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B9,51 SEGUINE PLACE,2,1804,600000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B9,173 MOSELY AVENUE,2,2008,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,68 JEANNETTE AVENUE,2,1600,930000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,70 JEANNETTE AVENUE,2,1600,990000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B9,41 LUCY LOOP,2,1500,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,103 JEANETTE AVENUE,2,2500,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,159 FABIAN STREET,2,2330,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,62 EAGAN AVENUE,2,3528,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,78 EAGAN AVENUE,2,3967,997885
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,169 BARCLAY AVENUE,2,2090,900000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B3,1020 ARDEN AVENUE,2,2528,935000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,134 DETROIT AVENUE,2,2982,900000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,792 ARDEN AVENUE,2,2800,1085000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,N/A EDGEGROVE AVENUE,2,2323,935000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,161 EDGEGROVE AVENUE,2,2479,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,174 RATHBUN AVENUE,2,1807,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,211 RENSSELAER AVENUE,2,2500,820000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B9,177 VINELAND AVE,2,1400,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,642 WOODROW ROAD,2,2156,797500
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,5041 AMBOY ROAD,2,2700,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,5119 AMBOY ROAD,2,2667,885000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,52 BENNETT AVENUE,2,3122,975000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,31 TENAFLY PLACE,2,2454,1189000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,41 TENAFLY PLACE,2,2726,941881
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,241 ALBEE AVE,2,1952,400000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,241 ALBEE AVENUE,2,1952,550000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,77 TENAFLY PLACE,2,2235,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,29 BUFFINGTON AVENUE,2,2926,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,141 SOUTH RAILROAD ST,2,2496,650000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,246 RATHBUN AVENUE,2,2200,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,208 SINCLAIR AVENUE,2,2156,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B1,338 CROWN AVENUE,2,1704,840000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,314 CROWN AVENUE,2,2168,337500
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,766 WOODROW ROAD,2,2368,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,337 DETROIT AVENUE,2,2782,865000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,208 NORTH RAILROAD ST,2,2032,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,404 EDGEGROVE AVENUE,2,1984,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,197 NORTH RAILROAD ST,2,2294,1060000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B1,482 IONIA AVENUE,2,1904,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,450 RATHBUN AVE,2,2880,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,470 SINCLAIR AVENUE,2,2280,855000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,135 DELMAR AVENUE,2,2493,819000
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B1,405 VINELAND AVENUE,2,3888,1222500
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,51 ALVINE AVENUE,2,3420,0
2020,5,ANNADALE,02 TWO FAMILY DWELLINGS,B2,4816 HYLAN BLVD,2,2980,0
